stu_no,stu_name,dept_id,grade,class,gender,height,weight
20153075,옥한빛,ME,1,C,M,177.0,80.0
20153088,이태연,ME,1,C,F,162.0,50.0
20143054,유가인,ME,2,C,F,154.0,47.0
20152088,조민우,EE,1,C,M,188.0,90.0
20142021,심수정,EE,1,A,F,168.0,45.0
20132003,박희철,EE,3,B,M,,63.0
20151062,김인중,CS,1,B,M,166.0,67.0
20141007,진현무,CS,2,A,M,174.0,64.0
20131001,김종헌,CS,3,C,M,,72.0
20131025,옥성우,CS,3,A,F,172.0,63.0
20121522,장현우,CS,4,B,M,171.4,84.0
20121542,오유진,CS,4,A,F,170.3,48.5
20121561,신현우,DS,4,C,M,182.7,79.8
20132511,한채원,DS,3,C,F,153.2,58.6
20132523,권지호,DS,3,C,M,176.7,85.3
20143524,한수아,ME,2,C,F,154.5,56.9
20143553,이준서,ME,2,A,M,176.2,87.2
20143565,한소민,EE,2,C,F,,58.6
20154504,권건우,EE,1,B,M,173.2,59.8
20154510,서다인,CS,1,B,F,159.5,57.9
20121599,최시우,DS,4,A,M,186.1,75.9
20132543,강서연,ME,3,A,F,167.7,47.5
20143602,임민재,EE,2,C,M,184.8,66.5
20154533,정다인,CS,1,A,F,158.6,60.4
20132567,임준서,DS,3,A,M,166.1,91.7
20121619,김가은,ME,4,B,F,164.7,57.1
20154540,정준서,EE,1,C,M,186.7,88.9
20143641,김소민,CS,2,C,F,165.7,51.3
20143669,오성민,DS,2,A,M,169.3,66.5
20132577,박나연,CS,3,A,F,153.0,61.5
20121642,정건우,EE,4,A,M,168.6,72.2
20154559,오예은,ME,1,C,F,171.9,52.6
